jd_id,role,jd_text,extracted_skills,
ds_jd_01,Data Scientist,"
**Data Scientist - Southeast Asia (Philippines)**

We’re seeking a talented Data Scientist to lead our launch in Southeast Asia, starting with the Philippines. You'll drive end-to-end development and deployment of machine learning models, working closely with cross-functional teams in a dynamic startup environment. Your work will directly support fair credit access in a rapidly growing region.

**Responsibilities:**
- Build and deploy ML models to grow user base, boost retention, and minimize losses.
- Develop analytics pipelines and data standards for strategic decision-making.
- Collaborate with product, engineering, and business teams to align analytics with business goals.
- Influence underwriting, marketing, fraud detection, and customer experience strategies.

**Qualifications:**
- Based in an Asia-Pacific time zone.
- Bachelor's degree in Engineering, CS, Finance, Mathematics, or related fields.
- 4+ years in data mining, machine learning, or predictive modeling.
- Proficient in Python, SQL, and ML frameworks (scikit-learn, LightGBM, XGBoost).
- Experience building predictive models and data pipelines from scratch.
- Strong analytical and structured problem-solving skills.

**Preferred:**
- Advanced degree (MS/PhD).
- Experience in fintech or banking, especially credit analytics.
- Knowledge of deep learning (TensorFlow, PyTorch, Keras).
- Cloud computing skills (AWS/Azure).
- Mandarin proficiency.
- Experience in emerging markets.

*Occasional travel (twice yearly) for company events.*

Empower is committed to fostering an inclusive, diverse, and equitable workplace.
","Machine Learning, Predictive Modeling, Data Pipelines, Python, SQL",
ds_jd_02,Data Scientist,"
### **Data Scientist**

**Job Purpose:**  
We're seeking a skilled Data Scientist passionate about using data to drive strategic decisions. You'll develop analytics use cases, provide actionable insights, and support digital transformation by acquiring, modeling, and analyzing data.

**Key Responsibilities:**  
- Develop and implement data-driven solutions aligned with organizational goals.
- Apply advanced analytics techniques to generate actionable insights.
- Acquire, transform, and model data to inform strategic decisions.
- Collaborate cross-functionally to support digitization objectives.

**Qualifications:**  
- Degree in Engineering, Computer Science, Statistics, or IT-related field.
- Minimum 70% score on Data Scientist entry exam (external hires).

**Skills & Experience:**  
- Strong understanding of machine learning methods and algorithms.
- Proficiency in Python or R.
- Skilled in data visualization and clearly communicating findings.
- Familiarity with data engineering (data warehouses, big data, cloud).
- Eager to continuously update and enhance skills.

","Machine Learning, Python, Data Visualization, Data Engineering, Communication",
ds_jd_03,Data Scientist,"
### **Python Data Scientist / Analyst (Remote)**

**Experience:** 4+ years  
**Location:** Fully remote (Worldwide)  
**Contract Duration:** 6-12 months  
**Work Hours:** 8 AM - 4 PM PST (minimum 5 hours overlap)

---

### **Role Overview:**
We’re hiring experienced Data Scientists & Analysts proficient in Python to develop innovative AI-driven solutions for leading US-based companies. This role is perfect for analytical minds eager to influence cutting-edge artificial intelligence and data analysis projects.

---

### **Responsibilities:**
- Write efficient Python code to solve complex business and AI challenges.
- Analyze large datasets (Kaggle, UN, US government) to generate actionable insights.
- Clearly document and communicate findings in Jupyter notebooks or similar tools.
- Collaborate effectively with researchers and stakeholders to achieve project objectives.
- Debug code, resolve issues, and provide thorough documentation.

---

### **Requirements:**
- Bachelor’s/Master’s degree in Engineering, Computer Science, or related field.
- 4+ years as a Data Scientist; 3+ years in data analysis.
- Minimum 4 years Python programming experience.
- Strong analytical, problem-solving, and business-oriented thinking.
- Excellent conversational and written English skills.
- Ability to clearly communicate technical insights to diverse stakeholders.

---","Python, Data Analysis, Artificial Intelligence, Problem Solving, Communication",
ds_jd_04,Data Scientist,"
### **Data Scientist**

**What You'll Do:**
- Build machine learning, statistical, and deep learning models to solve real-world business problems.
- Design, train, and evaluate models; architect robust ML pipelines.
- Collaborate with ML and data engineers to deploy models into production.
- Analyze structured/unstructured data to drive actionable insights.
- Utilize frameworks like TensorFlow, PyTorch, and Scikit-Learn effectively.
- Explore research areas such as NLP, computer vision, reinforcement learning, generative AI, and optimization.
- Mentor junior team members.

---

**What We Expect:**
- 2+ years of Data Science experience.
- Bachelor’s degree in IT, Computer Science, or related field (Master’s is a plus).
- Strong Python programming skills and model experimentation capabilities.
- Solid experience in ML/DL frameworks (TensorFlow, PyTorch, Scikit-Learn).
- Proficiency in data preprocessing tools (Pandas, PySpark).
- Experience deploying models on cloud platforms (AWS, Azure, GCP).
- Understanding of statistical inference, optimization methods, and core CS algorithms.
- Familiarity with analytics and visualization tools (Power BI, Tableau).
- Excellent analytical, problem-solving, and communication skills.

**Nice to Have:**
- Research publications in Deep Learning.
- Open-source contributions.

We seek individuals committed to **Excellence**, **Collaboration**, and **Integrity**.

","Machine Learning, Python, Deep Learning, Data Preprocessing, Cloud Deployment",
ds_jd_05,Data Scientist,"

### **Data Scientist**

Join **Paradigm**, a rapidly-growing AI startup focused on delivering innovative, data-driven solutions. As a Data Scientist, you'll collaborate closely with our expert team to build predictive models, analyze large datasets, and deliver actionable insights for US-based clients.

**Key Responsibilities:**
- Collaborate with cross-functional teams to identify data-driven solutions for complex business problems.
- Develop, implement, and refine advanced machine learning models.
- Analyze and interpret large datasets to generate actionable insights.
- Stay current with the latest developments in data science and machine learning.

**Qualifications:**
- Bachelor's or Master's degree in Computer Science, Statistics, Mathematics, or related fields.
- 3-5 years experience in data science or machine learning.
- Proficient in Python or R programming.
- Familiarity with ML frameworks (TensorFlow, Keras, scikit-learn).
- Strong statistical knowledge (regression, hypothesis testing, distributions).
- Excellent problem-solving, teamwork, and communication skills.

**Preferred:**
- Experience with Kaggle or other data science competitions.
- Familiarity with data visualization tools (Tableau, Power BI).

Join us and help shape the future of AI technology!
","Machine Learning, Python, Data Analysis, Statistical Analysis, Communication",
ds_jd_06,Data Scientist,"
### **Data Scientist**

**Responsibilities:**
- Collaborate with business units to identify and develop data-driven opportunities.
- Perform advanced data analytics, visualization, and concept development.
- Handle ad-hoc reporting needs beyond data analyst scope.
- Design data integrations (internal/external) in big data or data warehouse environments.
- Work cross-functionally to build and deploy data-driven use cases.
- Monitor performance, optimize models, and refine processes with stakeholders.
- Research industry trends and best practices.
- Mentor junior data analysts/scientists.

**Qualifications:**
- Degree in Engineering, IT, Computer Science, or Statistics.
- 2-3 years relevant experience in data science/analytics.
- Strong knowledge of machine learning techniques and algorithms.
- Proficient in Python or R.
- Skilled in data visualization and clear communication of insights.
- Understanding of data engineering concepts across diverse environments.
","Data Analytics, Data Visualization, Machine Learning, Data Integration, Communication",
ds_jd_07,Data Scientist,"
### **Data Scientist**

Join **Paradigm**, an innovative AI startup dedicated to developing groundbreaking solutions. We’re seeking a passionate Data Scientist to build predictive models, analyze large datasets, and provide actionable insights to US-based clients.

**Key Responsibilities:**
- Collaborate with cross-functional teams to identify data-driven solutions.
- Develop and implement advanced machine learning models.
- Analyze complex datasets and create insightful visualizations.
- Stay engaged with the latest advancements in data science and machine learning.

**Qualifications:**
- Bachelor’s or Master's in Computer Science, Statistics, Mathematics, or related field.
- 3-5 years of experience in data science or machine learning.
- Proficiency in Python or R programming.
- Experience with ML libraries (TensorFlow, Keras, scikit-learn).
- Solid understanding of statistical techniques and concepts.
- Strong problem-solving abilities and excellent communication skills.

**Preferred Skills:**
- Experience in Kaggle or similar data science competitions.
- Familiarity with data visualization tools (Tableau, Power BI).

Join us and shape the future of AI!

","Machine Learning, Python, Data Analysis, Statistics, Communication",
ds_jd_08,Data Scientist,"

### **Senior AI Engineer**

Join **Synopsys’ Generative AI Center of Excellence**, a team pioneering innovative generative AI solutions across the company. We're looking for a Senior AI Engineer to design, build, and deploy advanced AI and ML models, collaborating cross-functionally to deliver cutting-edge technology.

**Key Responsibilities:**
- Design, develop, and deploy AI/ML models addressing complex business challenges.
- Collaborate closely with product managers, architects, and stakeholders on AI initiatives.
- Conduct data analysis, preprocessing, and feature engineering for ML models.
- Train, validate, and optimize machine learning models for accuracy and performance.
- Stay current with emerging AI/ML trends and integrate improvements into existing systems.
- Document and communicate methods, processes, and model outcomes clearly.

**Qualifications:**
- Bachelor’s or Master’s degree in Computer Science, Electrical Engineering, or related fields.
- 3+ years of experience in machine learning and software engineering.
- Strong programming skills (Python or C++).
- Solid understanding of data structures, algorithms, and design patterns.
- Experience with ML frameworks (TensorFlow, PyTorch, scikit-learn).
- Excellent analytical, problem-solving, and communication skills.
- Ability to work both independently and collaboratively.
","Machine Learning, Programming, Data Analysis, ML Frameworks, Communication",
ds_jd_09,Data Scientist,"

### **Lead AI Engineer**

Join **Synopsys’ Generative AI Center of Excellence**, a team dedicated to advancing generative AI solutions across the company. As Lead AI Engineer, you'll design, develop, and deploy innovative AI/ML solutions, provide technical leadership, and collaborate with stakeholders to deliver cutting-edge products.

**Key Responsibilities:**
- Design, develop, and deploy advanced AI and ML models to solve complex business challenges.
- Provide technical leadership and mentorship to junior engineers and data scientists.
- Collaborate cross-functionally with product managers and engineers to deliver AI solutions.
- Perform data analysis, preprocessing, and feature engineering for model development.
- Train, evaluate, fine-tune, and deploy machine learning models into production.
- Monitor model performance, ensuring accuracy and optimal operations.
- Document methodologies, models, and processes clearly for knowledge sharing.
- Ensure AI solutions comply with ethical standards and data privacy regulations.
- Stay current on AI advancements, applying them to enhance existing or new systems.

**Qualifications:**
- Bachelor's/Master’s degree (PhD preferred) in Computer Science, Data Science, Electrical Engineering, or related fields.
- Minimum 4 years of experience deploying AI/ML solutions in production environments.
- Strong proficiency in Python or C++ programming.
- Expertise with ML frameworks (TensorFlow, PyTorch, scikit-learn).
- Knowledge of statistical analysis, data mining, and visualization techniques.
- Experience with cloud platforms (AWS, Azure, GCP) and container technologies (Docker, Kubernetes).
- Familiarity with Git and Agile methodologies.

**Skills:**
- Excellent problem-solving, analytical, and leadership abilities.
- Strong interpersonal and communication skills.
- Proven capability in mentorship and team collaboration.

","Machine Learning, Python, ML Frameworks, Leadership, Communication",
ds_jd_10,Data Scientist,"

### **Software Engineer (AI Data & Annotation) – Contract Role**

Join our client, a fast-growing AI data company, in a flexible contract role (part-time from 20 hrs/week or full-time). You’ll collect, curate, annotate AI data, refine code, and enhance model accuracy. This role is fully remote and ideal for engineers passionate about AI technology.

**Responsibilities:**
- Collect, curate, and annotate AI data to train and evaluate AI models.
- Review and refine code and prompts to ensure accurate AI outputs.
- Contribute to improving overall AI system performance.

**Qualifications:**
- Degree in Computer Science or related field.
- Proficiency in one or more programming languages: Java, Python, C/C++, Go, SQL, Node.js, React, TypeScript, MongoDB.
- Strong problem-solving abilities and excellent English communication skills.
- Self-motivated, goal-oriented, and comfortable working independently in remote teams.
- Experience collaborating or leading teams in dynamic, fast-paced environments.

**Hiring Process:**
- One-hour coding challenge.
- Final interview for shortlisted candidates.

**What's on Offer:**
- Competitive hourly compensation.
- Fully remote with flexible hours (min 20 hrs/week part-time or full-time).
- Collaborative work environment in an innovative AI-focused company.
","Data Annotation, Programming, Data Curation, Problem Solving, Communication",
